date,open,high,low,close,volume,number of trades,Bitcoin BTC,sentiment
2018-04-23 23:00:00,8924.12000000,8949.98000000,8888.00000000,8934.01000000,726.48237600,5351,73.0,0.5666666666666667
2018-04-24 00:00:00,8934.00000000,9219.00000000,8922.00000000,9169.97000000,3964.94245100,26665,68.0,0.1638888888888889
2018-04-24 01:00:00,9169.97000000,9194.00000000,9109.81000000,9186.00000000,1704.42178300,13364,90.0,0.21619859307359304
2018-04-24 02:00:00,9186.01000000,9230.15000000,9150.00000000,9189.86000000,1858.38268100,11390,90.0,0.28119047619047616
2018-04-24 03:00:00,9185.01000000,9211.47000000,9166.00000000,9192.47000000,1392.77981000,8713,91.0,0.22143939393939388
2018-04-24 04:00:00,9192.48000000,9279.98000000,9190.00000000,9266.30000000,1786.12907200,12369,100.0,0.040649801587301596
2018-04-24 05:00:00,9266.30000000,9300.00000000,9214.00000000,9271.11000000,1675.45460900,12434,93.0,0.10472222222222223
2018-04-24 06:00:00,9271.14000000,9278.81000000,9221.01000000,9227.37000000,1180.92422900,9108,80.0,0.0
2018-04-24 07:00:00,9235.00000000,9243.27000000,9177.00000000,9216.00000000,1499.85933400,11548,68.0,0.09952380952380953
2018-04-24 08:00:00,9217.98000000,9270.00000000,9216.00000000,9249.99000000,856.53136400,7367,68.0,0.18106060606060603
2018-04-24 09:00:00,9246.60000000,9285.78000000,9217.03000000,9285.00000000,1204.75176600,8565,76.0,-0.0013636363636363642
2018-04-24 10:00:00,9285.00000000,9349.00000000,9275.00000000,9292.15000000,2337.65963700,15451,77.0,0.16874708624708626
2018-04-24 11:00:00,9292.15000000,9332.79000000,9273.22000000,9294.57000000,1153.96533700,9958,72.0,0.20595238095238097
2018-04-24 12:00:00,9294.59000000,9383.66000000,9290.00000000,9380.00000000,1403.74947400,10748,70.0,0.07458216089466088
2018-04-24 13:00:00,9376.01000000,9420.00000000,9221.00000000,9259.99000000,3405.09151200,21991,72.0,0.06144311417748917
2018-04-24 14:00:00,9259.99000000,9331.00000000,9155.00000000,9289.69000000,3230.86915400,19489,63.0,0.5
2018-04-24 15:00:00,9289.69000000,9370.00000000,9288.21000000,9347.77000000,1451.47786800,10403,75.0,-0.04194878472222222
2018-04-24 16:00:00,9347.78000000,9380.00000000,9309.00000000,9350.19000000,1487.31298400,10939,64.0,0.17416383219954648
2018-04-24 17:00:00,9350.19000000,9415.95000000,9333.00000000,9409.97000000,1236.85789200,10758,69.0,0.0475
2018-04-24 18:00:00,9410.00000000,9411.00000000,9350.00000000,9410.99000000,1503.99988200,10981,60.0,0.22149170274170274
2018-04-24 19:00:00,9410.99000000,9455.00000000,9293.29000000,9449.90000000,2291.32396700,15503,77.0,0.0
2018-04-24 20:00:00,9452.00000000,9463.00000000,9400.04000000,9450.79000000,1461.89115200,12320,76.0,0.0475
2018-04-24 21:00:00,9450.79000000,9495.00000000,9439.13000000,9468.00000000,1821.21482000,14561,92.0,-0.1
2018-04-24 22:00:00,9469.00000000,9583.61000000,9425.01000000,9559.75000000,2960.60175000,19735,93.0,0.05798611111111112
2018-04-24 23:00:00,9559.75000000,9731.01000000,9511.00000000,9619.99000000,3398.59757800,22248,96.0,0.37055952380952384
2018-04-25 00:00:00,9618.96000000,9680.00000000,9440.00000000,9529.94000000,4176.71737300,25522,74.0,0.17142857142857146
2018-04-25 01:00:00,9529.21000000,9638.68000000,9466.01000000,9628.00000000,2162.33461400,13902,85.0,0.1480537518037518
2018-04-25 02:00:00,9628.00000000,9759.82000000,9530.00000000,9687.05000000,2926.04267000,15902,89.0,0.1866233766233766
