date,open,high,low,close,volume,number of trades,Ethereum ETH
2018-05-22 06:00:00,688.73000000,699.00000000,688.22000000,696.10000000,4187.25850000,4645,62
2018-05-22 07:00:00,695.39000000,696.04000000,692.33000000,694.27000000,2188.59871000,2878,74
2018-05-22 08:00:00,694.27000000,695.37000000,689.92000000,690.80000000,3268.44658000,3286,74
2018-05-22 09:00:00,690.80000000,691.97000000,681.13000000,686.40000000,5568.52474000,5490,53
2018-05-22 10:00:00,686.40000000,693.46000000,686.10000000,691.65000000,2492.36875000,3458,38
2018-05-22 11:00:00,691.22000000,692.26000000,682.77000000,683.67000000,3009.58821000,3301,50
2018-05-22 12:00:00,683.70000000,685.25000000,677.00000000,680.00000000,5263.04405000,5093,38
2018-05-22 13:00:00,680.00000000,688.00000000,680.00000000,684.50000000,3975.26370000,3958,65
2018-05-22 14:00:00,684.50000000,687.00000000,681.73000000,682.44000000,3397.54341000,4318,53
2018-05-22 15:00:00,682.16000000,683.82000000,679.00000000,680.04000000,3431.14633000,4694,53
2018-05-22 16:00:00,680.43000000,682.71000000,677.85000000,679.08000000,4994.08023000,3440,52
2018-05-22 17:00:00,679.07000000,680.00000000,673.88000000,674.62000000,2906.27164000,3915,62
2018-05-22 18:00:00,674.62000000,675.33000000,671.01000000,671.91000000,3393.48006000,3939,41
2018-05-22 19:00:00,671.91000000,673.43000000,662.00000000,666.66000000,5228.92634000,5827,61
2018-05-22 20:00:00,666.20000000,666.20000000,655.00000000,655.39000000,5651.54536000,5969,63
2018-05-22 21:00:00,655.38000000,658.46000000,646.42000000,649.02000000,8899.28423000,8239,58
2018-05-22 22:00:00,649.02000000,655.30000000,637.32000000,639.67000000,9729.49620000,11390,100
2018-05-22 23:00:00,640.11000000,648.00000000,639.66000000,640.99000000,8811.88715000,6366,60
2018-05-23 00:00:00,640.86000000,669.00000000,638.52000000,638.75000000,9597.21424000,8090,51
2018-05-23 01:00:00,638.55000000,639.25000000,625.65000000,630.78000000,11687.81053000,12294,55
2018-05-23 02:00:00,630.80000000,638.00000000,627.90000000,635.02000000,8426.25476000,7788,61
2018-05-23 03:00:00,634.52000000,644.37000000,633.50000000,642.19000000,7760.20495000,6580,64
2018-05-23 04:00:00,642.19000000,642.20000000,632.00000000,635.89000000,5313.97370000,6431,91
2018-05-23 05:00:00,635.19000000,643.99000000,632.11000000,639.02000000,5811.92007000,4446,59
2018-05-23 06:00:00,639.47000000,644.00000000,637.45000000,642.00000000,4841.07141000,4573,53
2018-05-23 07:00:00,641.99000000,642.00000000,619.00000000,621.09000000,10248.00997000,9302,55
2018-05-23 08:00:00,621.20000000,627.45000000,611.00000000,617.15000000,11357.22999000,9219,95
2018-05-23 09:00:00,616.37000000,619.17000000,610.00000000,615.75000000,7406.66604000,6848,76
2018-05-23 10:00:00,616.21000000,629.50000000,613.56000000,619.72000000,10421.01280000,7997,53
2018-05-23 11:00:00,619.72000000,623.77000000,611.89000000,620.99000000,6637.08706000,5889,53
2018-05-23 12:00:00,620.40000000,629.54000000,616.72000000,626.66000000,5860.38796000,5246,40
2018-05-23 13:00:00,626.01000000,626.85000000,617.63000000,619.60000000,7474.60571000,5413,51
2018-05-23 14:00:00,619.44000000,620.00000000,613.21000000,616.35000000,6611.75592000,5115,52
2018-05-23 15:00:00,616.36000000,619.50000000,592.39000000,598.63000000,15415.37018000,11405,70
2018-05-23 16:00:00,598.57000000,599.97000000,578.00000000,587.01000000,26957.87089000,17684,76
2018-05-23 17:00:00,587.01000000,589.04000000,560.00000000,569.28000000,22413.77264000,14510,80
2018-05-23 18:00:00,569.28000000,587.30000000,564.37000000,579.05000000,18010.51136000,13328,62
2018-05-23 19:00:00,578.91000000,596.65000000,578.80000000,591.46000000,15120.99225000,10122,54
2018-05-23 20:00:00,591.46000000,597.77000000,579.93000000,586.99000000,12116.49100000,8643,67
2018-05-23 21:00:00,586.99000000,597.62000000,585.00000000,596.78000000,6373.69087000,4796,61
2018-05-23 22:00:00,596.81000000,598.50000000,579.34000000,580.64000000,11163.38620000,8043,73
2018-05-23 23:00:00,580.64000000,584.00000000,568.00000000,577.19000000,10072.48046000,9338,61
2018-05-24 00:00:00,577.19000000,594.33000000,576.39000000,588.64000000,12005.06821000,6702,37
2018-05-24 01:00:00,589.10000000,599.14000000,585.68000000,592.30000000,10747.48432000,8626,56
2018-05-24 02:00:00,592.39000000,596.31000000,587.86000000,589.16000000,3610.43595000,3563,54
2018-05-24 03:00:00,589.15000000,598.68000000,587.55000000,595.92000000,4870.70141000,4596,62
2018-05-24 04:00:00,595.92000000,610.49000000,595.07000000,610.01000000,9718.29570000,7106,66
2018-05-24 05:00:00,610.09000000,612.10000000,600.69000000,604.46000000,5722.48466000,4643,54
2018-05-24 06:00:00,604.46000000,605.80000000,593.61000000,599.29000000,6706.39487000,5768,71
2018-05-24 07:00:00,599.10000000,603.88000000,587.65000000,590.40000000,7699.22959000,6376,75
2018-05-24 08:00:00,590.40000000,591.68000000,560.03000000,573.38000000,20576.34474000,14872,97
